nIP,iterations,rate, pbkdf2, bloomy
100,100,0.1,38.49896488750164,6.225812964999932
100,100,0.2,38.49896488750164,10.222660693998478
100,100,0.30000000000000004,38.49896488750164,13.47434977049852
100,100,0.4,38.49896488750164,17.03254191350061
100,100,0.5,38.49896488750164,19.84273258399844
100,100,0.6,38.49896488750164,24.676201190999564
100,100,0.7000000000000001,38.49896488750164,29.377121274497767
100,100,0.8,38.49896488750164,30.15916274650226
100,100,0.9,38.49896488750164,35.3832154164993
100,200,0.1,58.64990611500252,9.408264056000917
100,200,0.2,58.64990611500252,15.041512155999953
100,200,0.30000000000000004,58.64990611500252,19.86388693850313
100,200,0.4,58.64990611500252,26.26571094799874
100,200,0.5,58.64990611500252,32.021542164500715
100,200,0.6,58.64990611500252,41.69404716349891
100,200,0.7000000000000001,58.64990611500252,47.62683592149915
100,200,0.8,58.64990611500252,48.67009557599886
100,200,0.9,58.64990611500252,59.14237610050259
100,300,0.1,83.69024021400037,12.848010430498107
100,300,0.2,83.69024021400037,20.420918919000542
100,300,0.30000000000000004,83.69024021400037,27.772658387500996
100,300,0.4,83.69024021400037,36.5222795865011
100,300,0.5,83.69024021400037,44.51636929449887
100,300,0.6,83.69024021400037,57.85247055400032
100,300,0.7000000000000001,83.69024021400037,66.98819868549981
