Length,Rounds,Time
1,1,0.004740462600602768
1,2,0.009823616800713354
1,3,0.015267431999382098
1,4,0.01951690980058629
1,5,0.023412607799400575
1,6,0.029733208600373474
1,7,0.03369688660022803
1,8,0.04095159499993315
1,9,0.04489260900008958
1,10,0.05048384000110673
1,11,0.05412781420018291
1,12,0.05949289679992944
1,13,0.06416855120041873
1,14,0.06773138559947256
1,15,0.07117212819866836
1,16,0.07561938120052218
1,17,0.07937162060115951
1,18,0.08649224900000263
1,19,0.08949399959965376
1,20,0.09510137739998754
1,21,0.0983092206006404
1,22,0.10746632119989954
1,23,0.11073180100065656
1,24,0.11866774460067972
1,25,0.11663536479900358
1,26,0.12374004860030255
1,27,0.12859463100030552
1,28,0.13282427619997178
1,29,0.134717516200908
1,30,0.14275885639945046
1,31,0.14607647020020523
1,32,0.15081901940138778
1,33,0.15743035999912536
1,34,0.15828034120058873
1,35,0.16729603260027942
1,36,0.17545570559886983
1,37,0.17796611020021375
1,38,0.17717593679990387
1,39,0.18225372220040298
1,40,0.18983348960027796
1,41,0.2002762830001302
1,42,0.20363445499970112
1,43,0.20200368820078438
1,44,0.2055679509998299
1,45,0.21405047380103498
1,46,0.21478503399994225
1,47,0.22540177760092775
1,48,0.22877528340031858
1,49,0.2362999201999628
1,50,0.23566062019963283
1,51,0.2354542184009915
1,52,0.24153711379913148
1,53,0.24456785640068118
1,54,0.2529378925988567
1,55,0.25670379819930533
1,56,0.25734914439963175
1,57,0.2640314853997552
1,58,0.27057449019921476
1,59,0.2754395440002554
1,60,0.2783638660010183
1,61,0.28296917799889343
1,62,0.297258300401154
1,63,0.2997261504002381
1,64,0.3054240425990429
1,65,0.30081916299968725
1,66,0.3138758574001258
1,67,0.32026598900120007
1,68,0.317417927000497
1,69,0.3251666039999691
1,70,0.34262730320042467
1,71,0.33414025520032736
1,72,0.3361641013994813
1,73,0.37190198739990593
1,74,0.37818202000053136
1,75,0.39103799959993923
1,76,0.4034292155993171
1,77,0.403511360999255
1,78,0.40835153200023344
1,79,0.3985346164001385
1,80,0.4091923125990434
1,81,0.407260655000573
1,82,0.4178917318000458
1,83,0.4200157560000662
1,84,0.41793213979981375
1,85,0.42971218900056557
1,86,0.4300442019986804
1,87,0.4373737435991643
1,88,0.4418808140006149
1,89,0.4292012894002255
1,90,0.44501422500034093
1,91,0.42579317999916383
1,92,0.4453758711999399
1,93,0.4486289341992233
1,94,0.46917636619909897
1,95,0.4932051654002862
1,96,0.45232681640045486
1,97,0.48793811020004796
1,98,0.4673465190004208
1,99,0.5136350865999703
2,1,0.004658392400597222
2,2,0.010977314399497118
2,3,0.01754614620003849
2,4,0.019574866800394376
2,5,0.027069427800597623
2,6,0.032403666600293944
2,7,0.03554129300027853
2,8,0.04056026200123597
2,9,0.047297514200909066
2,10,0.0521574847996817
2,11,0.05906034139916301
2,12,0.06492942900076741
2,13,0.07137159800040535
2,14,0.0726799664000282
2,15,0.07718184219993418
2,16,0.08588874480046797
2,17,0.08939659899915568
2,18,0.09195572480093687
2,19,0.10209198160009691
2,20,0.10160604999982752
2,21,0.09834138099977281
2,22,0.10306592200067825
2,23,0.10754119240009459
2,24,0.11421909799973946
2,25,0.12238319220050471
2,26,0.12442091919947415
2,27,0.12427298059919849
2,28,0.1337201438000193
2,29,0.13888421719893812
2,30,0.14072165899997344
2,31,0.14759974440094084
2,32,0.15131143500038888
2,33,0.16013057259988273
2,34,0.1606353522001882
2,35,0.16345780420087977
2,36,0.16876513640017948
2,37,0.17217040060058936
2,38,0.18272890460066266
2,39,0.18310621679993347
2,40,0.18809974239993607
2,41,0.19510231080057566
2,42,0.19700757039972813
2,43,0.20426168359990698
2,44,0.20781296820059653
2,45,0.2193013376003364
2,46,0.22885810139996465
2,47,0.22588921840069814
2,48,0.22594246859953274
2,49,0.2333092561995727
2,50,0.23434730379958638
2,51,0.24929059179994512
2,52,0.25093425199884223
2,53,0.24790724799968303
2,54,0.25727456899912793
2,55,0.263846323400503
2,56,0.27177852079912557
2,57,0.27400193600042255
2,58,0.280359752199729
2,59,0.27617321720026666
2,60,0.2798268843995174
2,61,0.2913872231991263
2,62,0.29342254280054475
2,63,0.3001268744003028
2,64,0.29801259800005936
2,65,0.3036456813992118
2,66,0.3074950006004656
2,67,0.3198035945999436
2,68,0.326932529998885
2,69,0.328054513198731
2,70,0.32876212280098116
2,71,0.3334847858001012
2,72,0.34130952679988696
2,73,0.34021603680012047
2,74,0.35146188660000915
2,75,0.35634398219990543
2,76,0.3672487274001469
2,77,0.3628460127991275
2,78,0.37369906819949394
2,79,0.3657261155996821
2,80,0.37795277780096515
2,81,0.38026126439945074
2,82,0.3890766030002851
2,83,0.39799789180106016
2,84,0.3963496349999332
2,85,0.4058468039991567
2,86,0.40615109559876145
2,87,0.4175878163994639
2,88,0.4214583857989055
2,89,0.42125080019905
2,90,0.4305558658001246
2,91,0.4322208052006317
2,92,0.43617864539992296
2,93,0.4366393211996183
2,94,0.4350074671994662
2,95,0.4550896514003398
2,96,0.4428012350006611
2,97,0.463128673400206
2,98,0.4752895374011132
2,99,0.4611128467993694
